,Valor
Retorno Médio Diário,0.0003875552007880989
Volatilidade Diária,0.004697678930517548
Sharpe Ratio (diário),0.08249929518818809
VaR 95% (diário),-0.007802946800591514
Max Drawdown,-0.04558235722915747
Dias Positivos,145.0
Dias Negativos,104.0
