,Total Return (%),Annual Return (%),Volatility (%),Sharpe Ratio,Win Rate (%),Trades Per Day,Alpha (%),Beta,Skewness,Kurtosis
Schwartz-Smith Tenor 1,9.86923446443322,9.910441268408965,7.457334113626383,0.6391548222508535,57.99999999999999,0.50199203187251,-0.08955873159103567,1.2,-0.449436416291148,0.9344512570394627
Schwartz-Smith Tenor 2,-6.93202113820679,-6.958654792707475,7.231348176313011,-1.656694549395384,42.8,0.47410358565737054,-16.958654792707474,0.8,0.2534310440519733,0.7833121309757622
Buy & Hold Benchmark,15.0,5.0,20.0,0.25,-,-,0,1.0,-,-
Risk-Free Rate (5%),15.0,5.0,0.0,-,100,-,0,0,-,-
