,date,portfolio_value,daily_pnl,num_positions
0,2017-01-03,100000.0,0.0,1
1,2017-01-04,99464.57544618713,-535.4245538128732,1
2,2017-01-05,99237.3184459647,-227.25700022242262,1
3,2017-01-06,99127.42301509643,-109.8954308682668,1
4,2017-01-09,100252.371703604,1124.9486885075773,1
5,2017-01-10,100962.52851038241,710.1568067784032,1
6,2017-01-11,101786.94289307346,824.4143826910455,1
7,2017-01-12,102289.7593251934,502.8164321199427,1
8,2017-01-13,102596.57381486725,306.8144896738517,1
9,2017-01-17,102585.47229200181,-11.10152286544856,1
10,2017-01-18,103445.437040799,859.9647487972018,1
11,2017-01-19,103305.80515157539,-139.631889223615,1
12,2017-01-20,104065.36527446088,759.5601228855006,1
13,2017-01-23,104211.64565815899,146.28038369810903,1
14,2017-01-24,104092.77305854892,-118.87259961006482,1
15,2017-01-25,104295.55118788376,202.7781293348339,1
16,2017-01-26,103636.60326098863,-658.9479268951316,1
17,2017-01-27,104034.6385793452,398.03531835657077,1
18,2017-01-30,104197.66115781068,163.02257846547494,1
19,2017-01-31,103931.64866055825,-266.0124972524288,1
20,2017-02-01,103315.89562540593,-615.7530351523146,1
21,2017-02-02,103446.85943676207,130.96381135614476,1
22,2017-02-03,103309.68626742407,-137.17316933800038,1
23,2017-02-06,103904.33980393961,594.6535365155395,1
24,2017-02-07,104279.15624867385,374.8164447342419,1
25,2017-02-08,104238.62673402858,-40.52951464526779,0
26,2017-02-09,104237.87673402858,-0.75,1
27,2017-02-10,103636.3962660864,-601.4804679421745,1
28,2017-02-13,104245.0544663793,608.6582002928885,1
29,2017-02-14,104031.276157166,-213.77830921329894,1
30,2017-02-15,104153.95016514121,122.67400797521803,1
31,2017-02-16,104209.99713383995,56.04696869873294,1
32,2017-02-17,104120.1125001935,-89.88463364644173,1
33,2017-02-21,103644.3800384922,-475.73246170129505,1
34,2017-02-22,104094.37152259861,449.9914841064033,1
35,2017-02-23,103680.52928624443,-413.8422363541707,1
36,2017-02-24,104004.87452632336,324.34524007891906,1
37,2017-02-27,104038.3106352977,33.43610897435083,1
38,2017-02-28,104228.04615621314,189.73552091543482,1
39,2017-03-01,103794.93446954135,-433.1116866717977,1
40,2017-03-02,104502.1249386028,707.1904690614599,1
41,2017-03-03,104033.89431523868,-468.2306233641278,1
42,2017-03-06,104093.80967324231,59.91535800363002,1
43,2017-03-07,104143.98879949079,50.17912624848084,1
44,2017-03-08,105713.97060489084,1569.9818054000498,1
45,2017-03-09,106261.84089084358,547.8702859527388,1
46,2017-03-10,105760.97074600458,-500.87014483900356,1
47,2017-03-13,105748.61789756238,-12.352848442202967,1
48,2017-03-14,105482.95924695312,-265.65865060925904,1
49,2017-03-15,106036.06117387646,553.1019269233389,1
50,2017-03-16,105991.58187866991,-44.47929520655063,1
51,2017-03-17,105979.29062448993,-12.291254179971533,1
52,2017-03-20,106065.28618488848,85.99556039854366,1
53,2017-03-21,106472.12319892582,406.8370140373448,1
54,2017-03-22,106672.69862724406,200.57542831822892,1
55,2017-03-23,106723.25440858398,50.555781339924245,1
56,2017-03-24,106571.27509059708,-151.97931798690126,1
57,2017-03-27,106602.74298678525,31.46789618816837,1
58,2017-03-28,106237.24786797342,-365.4951188118324,1
59,2017-03-29,105560.45885467072,-676.7890133026996,1
60,2017-03-30,105234.23233169368,-326.2265229770415,1
61,2017-03-31,105311.72732906786,77.4949973741724,1
62,2017-04-03,105138.30086157535,-173.4264674925014,1
63,2017-04-04,104514.8339042825,-623.4669572928542,1
64,2017-04-05,104404.85890829682,-109.97499598567272,1
65,2017-04-06,104099.4804578476,-305.3784504492147,1
66,2017-04-07,103900.34681878632,-199.13363906128544,1
67,2017-04-10,103482.78930622712,-417.5575125592042,1
68,2017-04-11,103344.14676964321,-138.64253658390456,1
