,Total Return (%),Annual Return (%),Volatility (%),Sharpe Ratio,Win Rate (%),Trades Per Day,Alpha (%),Beta,Skewness,Kurtosis
Schwartz-Smith Tenor 1,11.096226357885918,11.142810910615065,14.395295884831395,0.46133816739105543,55.60000000000001,0.5219123505976095,1.142810910615065,1.2,-0.06197010305695602,0.927386068832385
Schwartz-Smith Tenor 2,12.773057253121657,12.827078719317475,13.823818452779946,0.583667852470977,50.8,0.5179282868525896,2.8270787193174747,0.8,0.4732119909819233,1.56863294022269
Buy & Hold Benchmark,15.0,5.0,20.0,0.25,-,-,0,1.0,-,-
Risk-Free Rate (5%),15.0,5.0,0.0,-,100,-,0,0,-,-
