Metric,Strategy,Buy&Hold M1,CDI (13.75%),Roll Strategy
Total P&L,$-89.80,$2.63,$8.53,$3.57
Sharpe,-1.837,0.319,61789883950872216.000,0.344
Max DD,-0.00%,-3478.19%,0.00%,-836.88%
Win Rate,54.00%,-,-,-
Trades,348,-,-,-
