,Valor
Retorno Médio Diário,0.0001326713545500876
Volatilidade Diária,0.0066761257348183604
Sharpe Ratio (diário),0.019872506872984655
VaR 95% (diário),-0.010876686903538324
Max Drawdown,-0.15741518025704304
Dias Positivos,542.0
Dias Negativos,460.0
