,Valor
Retorno Médio Diário,8.355765452277212e-05
Volatilidade Diária,0.0034300538044028904
Sharpe Ratio (diário),0.02436045009425675
VaR 95% (diário),-0.005671996279943192
Max Drawdown,-0.051915332890629905
Dias Positivos,132.0
Dias Negativos,119.0
