,Total Return (%),Annual Return (%),Volatility (%),Sharpe Ratio,Win Rate (%),Trades Per Day,Alpha (%),Beta,Skewness,Kurtosis
Schwartz-Smith Tenor 1,1.9692736459440363,1.9692736459440363,5.445041610012621,-0.5315564716170155,52.589641434262944,0.5277777777777778,-8.030726354055965,1.2,-0.09327141081553764,0.028434809492878355
Schwartz-Smith Tenor 2,-0.405311410076159,-0.405311410076159,5.0780613700560595,-1.0396495732595643,46.21513944223107,0.48412698412698413,-10.405311410076159,0.8,0.2849691616479111,0.6603946977210273
Buy & Hold Benchmark,15.0,5.0,20.0,0.25,-,-,0,1.0,-,-
Risk-Free Rate (5%),15.0,5.0,0.0,-,100,-,0,0,-,-
