,Valor
Retorno Médio Diário,8.206750537702587e-05
Volatilidade Diária,0.006058585175474929
Sharpe Ratio (diário),0.01354565513236226
VaR 95% (diário),-0.010512300220380565
Max Drawdown,-0.0932491286667004
Dias Positivos,388.0
Dias Negativos,363.0
