,Total Return (%),Annual Return (%),Volatility (%),Sharpe Ratio,Win Rate (%),Trades Per Day,Alpha (%),Beta,Skewness,Kurtosis
Schwartz-Smith Tenor 1,4.9153911194042,1.616639094860406,9.617705802725572,-0.30484389153056307,51.527224435590966,0.506631299734748,-8.383360905139595,1.2,-0.17831131481348825,0.8019496347263178
Schwartz-Smith Tenor 2,30.07367849089453,9.18528297635255,8.869983579977799,0.4727398119681627,50.863213811420984,0.4761273209549072,-0.8147170236474501,0.8,0.24747447087092755,1.1712558039824685
Buy & Hold Benchmark,15.0,5.0,20.0,0.25,-,-,0,1.0,-,-
Risk-Free Rate (5%),15.0,5.0,0.0,-,100,-,0,0,-,-
