,date,portfolio_value,daily_pnl,num_positions
0,2022-01-03,99999.25,-0.75,1
1,2022-01-04,99611.813047607,-387.4369523930105,1
2,2022-01-05,98923.18238257796,-688.6306650290384,1
3,2022-01-06,97792.16650904709,-1131.015873530864,1
4,2022-01-07,96763.2314575275,-1028.9350515196027,1
5,2022-01-10,96068.56505797802,-694.6663995494814,1
6,2022-01-11,94338.89299527297,-1729.67206270505,1
7,2022-01-12,92299.94021807708,-2038.9527771958863,1
8,2022-01-13,90375.17443510452,-1924.7657829725622,1
9,2022-01-14,87944.72532773351,-2430.449107371005,1
10,2022-01-18,85095.2627788139,-2849.4625489196023,1
11,2022-01-19,82037.5221385724,-3057.7406402415013,1
12,2022-01-20,79108.35257120378,-2929.1695673686227,1
13,2022-01-21,76431.00860535385,-2677.3439658499296,1
14,2022-01-24,74314.59159066775,-2116.4170146861065,1
15,2022-01-25,71711.98130528175,-2602.6102853860066,1
16,2022-01-26,68721.10682541852,-2990.874479863227,1
17,2022-01-27,66016.81206708222,-2704.2947583362957,1
18,2022-01-28,63245.91143398046,-2770.9006331017667,1
19,2022-01-31,60307.83535077871,-2938.076083201747,1
20,2022-02-01,57975.85093496106,-2331.984415817652,1
21,2022-02-02,55665.77239745381,-2310.0785375072483,1
22,2022-02-03,53100.97440107075,-2564.7979963830617,1
23,2022-02-04,50218.67663888551,-2882.2977621852388,1
24,2022-02-07,47603.46497750623,-2615.211661379284,1
25,2022-02-08,45469.80751966409,-2133.657457842137,1
26,2022-02-09,43298.79404591564,-2171.0134737484586,1
27,2022-02-10,41254.46379778675,-2044.330248128884,1
28,2022-02-11,38831.847906496114,-2422.615891290641,1
29,2022-02-14,36250.59693778119,-2581.250968714923,1
30,2022-02-15,34281.55337152288,-1969.043566258309,1
31,2022-02-16,32220.232822505888,-2061.320549016994,1
32,2022-02-17,30508.04850804581,-1712.18431446008,1
33,2022-02-18,28820.796597648947,-1687.2519103968623,1
34,2022-02-22,26865.59492418474,-1955.2016734642061,1
35,2022-02-23,25043.03405303025,-1822.5608711544921,1
36,2022-02-24,23131.03740400806,-1911.9966490221877,1
37,2022-02-25,21466.059591374662,-1664.9778126333995,1
38,2022-02-28,19671.42308236166,-1794.6365090130007,1
39,2022-03-01,17729.43668361294,-1941.9863987487186,1
40,2022-03-02,15443.107073298966,-2286.329610313975,1
41,2022-03-03,13596.50409532688,-1846.6029779720866,1
42,2022-03-04,11575.620813799376,-2020.8832815275032,1
43,2022-03-07,9630.863754058886,-1944.7570597404897,1
44,2022-03-08,7838.337833766842,-1792.5259202920438,1
45,2022-03-09,6880.826015329485,-957.5118184373571,1
46,2022-03-10,6086.08822260253,-794.7377927269555,1
47,2022-03-11,6864.91949211182,778.8312695092905,1
48,2022-03-14,7591.459067522413,726.5395754105928,1
49,2022-03-15,6986.429420966661,-605.029646555751,1
50,2022-03-16,7491.702716137104,505.2732951704427,1
51,2022-03-17,8278.815265371159,787.1125492340551,1
52,2022-03-18,9187.691443894184,908.8761785230248,1
53,2022-03-21,7908.999314857911,-1278.6921290362732,1
54,2022-03-22,6812.474340209973,-1096.5249746479376,1
55,2022-03-23,5709.609096934148,-1102.8652432758256,1
56,2022-03-24,4841.022704180745,-868.5863927534032,1
57,2022-03-25,4074.782835543577,-766.2398686371674,1
58,2022-03-28,3556.277296201808,-518.5055393417693,1
