,Valor
Retorno Médio Diário,0.00034080031322151024
Volatilidade Diária,0.006559544556533249
Sharpe Ratio (diário),0.05195487434902414
VaR 95% (diário),-0.012560779916325414
Max Drawdown,-0.04401344917110836
Dias Positivos,60.0
Dias Negativos,67.0
