,Total Return (%),Annual Return (%),Volatility (%),Sharpe Ratio,Win Rate (%),Trades Per Day,Alpha (%),Beta,Skewness,Kurtosis
Schwartz-Smith Tenor 1,0.3549053430781379,0.4260374182349258,9.801762426886627,-0.41773299054619945,52.15311004784689,0.45714285714285713,-9.573962581765075,1.2,-0.10585576992780293,2.500060660920875
Schwartz-Smith Tenor 2,-0.5250534331098788,-0.6297328381136835,8.94134187780714,-0.5857576053653957,48.32535885167464,0.4380952380952381,-10.629732838113684,0.8,0.38997740914050694,2.5696172465460805
Buy & Hold Benchmark,15.0,5.0,20.0,0.25,-,-,0,1.0,-,-
Risk-Free Rate (5%),15.0,5.0,0.0,-,100,-,0,0,-,-
