,date,portfolio_value,daily_pnl,num_positions
0,2023-11-01,100000.0,0.0,2
1,2023-11-02,99715.87655853193,-284.12344146806345,2
2,2023-11-03,98076.46658995749,-1639.4099685744457,2
3,2023-11-06,98089.24402265834,12.777432700856053,2
4,2023-11-07,98066.40276033829,-22.84126232005451,2
5,2023-11-08,97795.52605096025,-270.87670937803705,2
6,2023-11-09,98128.5695555744,333.04350461414833,2
7,2023-11-10,99206.85029171918,1078.280736144779,2
8,2023-11-13,99784.79603190256,577.9457401833845,2
9,2023-11-14,99802.93432492822,18.138293025672088,2
10,2023-11-15,99659.13965582167,-143.79466910655213,2
11,2023-11-16,99577.491419839,-81.64823598265775,2
12,2023-11-17,99343.45331822977,-234.038101609223,2
13,2023-11-20,100409.54281714596,1066.089498916196,2
14,2023-11-21,100427.96350624369,18.420689097715524,2
15,2023-11-22,100347.45588702931,-80.507619214376,2
16,2023-11-24,100245.22246081811,-102.23342621119264,2
17,2023-11-27,100198.43289472387,-46.7895660942406,2
18,2023-11-28,100181.90023633606,-16.53265838779896,2
19,2023-11-29,100229.7368031295,47.83656679344631,2
20,2023-11-30,99593.6685675932,-636.0682355363126,2
21,2023-12-01,100275.08404036009,681.4154727668971,2
22,2023-12-04,99948.58366202895,-326.500378331144,2
23,2023-12-05,99334.06338500354,-614.5202770254059,2
24,2023-12-06,97003.16708731801,-2330.8962976855246,2
25,2023-12-07,96888.47231067996,-114.69477663805067,2
26,2023-12-08,98383.3602102691,1494.8878995891312,2
27,2023-12-11,98271.07098384226,-112.28922642682545,2
28,2023-12-12,98232.69468937216,-38.37629447009567,2
29,2023-12-13,97975.9718220383,-256.72286733387375,2
30,2023-12-14,99580.35050253829,1604.378680499992,2
31,2023-12-15,99541.14462779657,-39.205874741715974,2
32,2023-12-18,99429.78820641246,-111.35642138412038,2
33,2023-12-19,99339.22953446626,-90.55867194620402,2
34,2023-12-20,99478.96462274739,139.73508828113026,2
35,2023-12-21,99462.3519850818,-16.612637665588863,2
36,2023-12-22,99449.36128970113,-12.990695380669337,2
37,2023-12-26,99509.94354430941,60.58225460828123,2
38,2023-12-27,99456.08551592307,-53.85802838634288,2
39,2023-12-28,98985.99208847676,-470.0934274463048,2
40,2023-12-29,99447.74916786575,461.75707938899535,2
41,2024-01-02,99364.28042895428,-83.46873891147106,2
42,2024-01-03,99307.29006822279,-56.99036073149027,1
43,2024-01-04,98982.16148320989,-325.128585012906,2
44,2024-01-05,99200.759186496,218.59770328610904,2
45,2024-01-08,98972.57924754072,-228.17993895527047,2
46,2024-01-09,99015.92627136559,43.3470238248716,2
47,2024-01-10,98960.63186939058,-55.29440197501958,2
48,2024-01-11,98995.21147884459,34.57960945401268,2
49,2024-01-12,98929.75824384521,-65.45323499938041,2
50,2024-01-16,98815.42005324968,-114.33819059552879,2
51,2024-01-17,99036.1801543444,220.7601010947297,2
52,2024-01-18,99193.14422981118,156.96407546678273,2
53,2024-01-19,99127.15673632205,-65.98749348912023,2
54,2024-01-22,99280.41796849117,153.26123216910878,2
55,2024-01-23,99145.33256777738,-135.08540071378022,2
56,2024-01-24,99250.07986229582,104.74729451844473,2
57,2024-01-25,99261.10615611802,11.026293822196294,2
58,2024-01-26,98864.10017481407,-397.00598130395554,2
59,2024-01-29,99739.97942490551,875.8792500914385,2
60,2024-01-30,98922.31864508739,-817.6607798181158,2
61,2024-01-31,98586.46744634783,-335.85119873956535,2
62,2024-02-01,98884.42279312624,297.9553467784168,2
63,2024-02-02,98550.26833267788,-334.15446044836403,2
64,2024-02-05,99007.11959127385,456.8512585959696,2
65,2024-02-06,99222.84935488377,215.72976360991916,2
66,2024-02-07,99211.3397836359,-11.509571247869076,2
67,2024-02-08,99253.02772145337,41.687937817458646,2
68,2024-02-09,99290.9659501287,37.938228675318385,2
69,2024-02-12,99390.83800160998,99.87205148129036,2
70,2024-02-13,99479.10452356648,88.26652195649382,2
71,2024-02-14,99429.5639194845,-49.54060408198586,2
72,2024-02-15,99509.96962725924,80.40570777474431,2
73,2024-02-16,99733.99429356157,224.02466630232956,2
