,Valor
Retorno Médio Diário,-0.0001964708485004691
Volatilidade Diária,0.0069258457840149085
Sharpe Ratio (diário),-0.028367776965801145
VaR 95% (diário),-0.011308588602562796
Max Drawdown,-0.3258890771553759
Dias Positivos,481.0
Dias Negativos,526.0
