,kappa,sigma_X,sigma_Y,rho,mu,date,f_model_1,f_model_2,f_future_1d_tenor_1,f_future_1d_tenor_2,f_future_2d_tenor_1,f_future_2d_tenor_2,f_future_3d_tenor_1,f_future_3d_tenor_2,f_future_4d_tenor_1,f_future_4d_tenor_2
0,0.1,0.8,0.5,0.3,0.0,2021-09-23,62.695744541882576,65.6002145384984,62.556633958935464,65.4562334287407,62.41775825815537,65.3124922793134,62.27911719224095,65.1689908422241,62.140710513926976,65.0257288695124
1,0.1,0.8,0.5,0.3,0.0,2021-09-24,65.3574848817788,68.33741661343208,65.21249274039168,68.18742790203162,65.06774536266427,68.03768916312389,64.92324249096534,67.88820013836963,,
2,0.1,0.8,0.5,0.3,0.0,2021-09-27,65.85517888999024,68.84694372802984,65.70906886973371,68.6958166131339,65.56320552809251,68.54494140810006,,,,
3,0.1,0.8,0.5,0.3,0.0,2021-09-28,64.86387849433903,67.90951398563135,64.71995439611965,67.76048296579538,,,,,,
4,0.1,0.8,0.5,0.3,0.0,2021-09-29,63.820057633645305,66.823386414494,,,,,,,,
