,Valor
Retorno Médio Diário,0.0008687687206392311
Volatilidade Diária,0.006530506806578958
Sharpe Ratio (diário),0.13303235818757847
VaR 95% (diário),-0.008618580888601235
Max Drawdown,-0.06177982796044062
Dias Positivos,138.0
Dias Negativos,113.0
