,Valor
Retorno Médio Diário,0.0007790336682912916
Volatilidade Diária,0.05742299103635075
Sharpe Ratio (diário),0.013566581159071568
VaR 95% (diário),-0.016461126397604775
Max Drawdown,-3.995446479306907
Dias Positivos,1789.0
Dias Negativos,1572.0
