,Total Return (%),Annual Return (%),Volatility (%),Sharpe Ratio,Win Rate (%),Trades Per Day,Alpha (%),Beta,Skewness,Kurtosis
Schwartz-Smith Tenor 1,2.774869301517313,2.774869301517313,14.197965691179382,-0.0881804061888332,50.199203187250994,0.49206349206349204,-7.225130698482688,1.2,0.6710935810689976,1.49742345958279
Schwartz-Smith Tenor 2,-11.93350176303255,-11.93350176303255,13.459210112427991,-1.2522201658312084,45.81673306772908,0.4523809523809524,-21.933501763032552,0.8,0.27189524282399796,1.3035738751498576
Buy & Hold Benchmark,15.0,5.0,20.0,0.25,-,-,0,1.0,-,-
Risk-Free Rate (5%),15.0,5.0,0.0,-,100,-,0,0,-,-
