,Valor
Retorno Médio Diário,0.00014873085786891555
Volatilidade Diária,0.008943877700449505
Sharpe Ratio (diário),0.016629348348696737
VaR 95% (diário),-0.013297470204060746
Max Drawdown,-0.14135949857800703
Dias Positivos,126.0
Dias Negativos,125.0
