Metric,Strategy,Buy&Hold M1,CDI (13.75%),Roll Strategy
Total P&L,$-18.15,$14.78,$0.55,$11.81
Sharpe,-6.164,7.319,123579767901744416.000,7.180
Max DD,-0.00%,-71.33%,0.00%,-90.86%
Win Rate,40.00%,-,-,-
Trades,10,-,-,-
