,Total Return (%),Annual Return (%),Volatility (%),Sharpe Ratio,Win Rate (%),Trades Per Day,Alpha (%),Beta,Skewness,Kurtosis
Schwartz-Smith Tenor 1,-9.132984066196459,-9.132984066196459,9.34162829176839,-1.5177175605626099,52.589641434262944,0.4246031746031746,-19.13298406619646,1.2,-0.5214649502527002,3.1110524679269362
Schwartz-Smith Tenor 2,1.2101406861465325,1.2101406861465325,9.14152591092495,-0.3694148651343207,45.81673306772908,0.3373015873015873,-8.789859313853468,0.8,0.5634236843701844,3.117671370311788
Buy & Hold Benchmark,15.0,5.0,20.0,0.25,-,-,0,1.0,-,-
Risk-Free Rate (5%),15.0,5.0,0.0,-,100,-,0,0,-,-
