,Valor
Retorno Médio Diário,0.0002380562291977002
Volatilidade Diária,0.005410821818043254
Sharpe Ratio (diário),0.0439963164937096
VaR 95% (diário),-0.009534678110662054
Max Drawdown,-0.05422667179580211
Dias Positivos,126.0
Dias Negativos,124.0
