date,t,pnl_day,pnl_cum
2020-07-29,150,-11.50261896277445,-11.50261896277445
2020-07-30,151,4.389391376304826,-7.113227586469624
2020-07-31,152,-5.894337674093084,-13.007565260562707
2020-08-03,153,3.30515436113129,-9.702410899431417
2020-08-04,154,-7.44002919175394,-17.142440091185357
2020-08-05,155,-7.756658516287079,-24.899098607472435
2020-08-06,156,2.6160216300114985,-22.283076977460937
2020-08-07,157,0.15495559562676298,-22.128121381834173
2020-08-10,158,-10.612895507626435,-32.74101688946061
2020-08-11,159,-4.370408392277712,-37.11142528173832
