Metric,Strategy,Buy&Hold M1,CDI (13.75%),Roll Strategy
Total P&L,$-37.11,$-13.37,$0.55,$-10.53
Sharpe,-10.521,-13.576,123579767901744416.000,-7.734
Max DD,-0.00%,-1837.28%,0.00%,-441.69%
Win Rate,40.00%,-,-,-
Trades,61,-,-,-
