,Valor
Retorno Médio Diário,0.0004997921866898971
Volatilidade Diária,0.01405193301864382
Sharpe Ratio (diário),0.035567504202217805
VaR 95% (diário),-0.013816332758649996
Max Drawdown,-0.07529851965442634
Dias Positivos,21.0
Dias Negativos,28.0
