,Valor
Retorno Médio Diário,-0.0007633492794118351
Volatilidade Diária,0.032775484780226224
Sharpe Ratio (diário),-0.023290251373257225
VaR 95% (diário),-0.012690487315219988
Max Drawdown,-0.9594107264464744
Dias Positivos,517.0
Dias Negativos,428.0
