,Valor
Retorno Médio Diário,-9.771058104787766e-05
Volatilidade Diária,0.00486771722869567
Sharpe Ratio (diário),-0.0200731834774346
VaR 95% (diário),-0.007661420720904255
Max Drawdown,-0.09663874835585615
Dias Positivos,128.0
Dias Negativos,123.0
