,Total Return (%),Annual Return (%),Volatility (%),Sharpe Ratio,Win Rate (%),Trades Per Day,Alpha (%),Beta,Skewness,Kurtosis
Schwartz-Smith Tenor 1,-2.710917058730966,-2.710917058730966,7.727261543827958,-0.965711669015128,50.99601593625498,0.40476190476190477,-12.710917058730967,1.2,0.6067342348815115,4.474684180241763
Schwartz-Smith Tenor 2,-0.7018410790312068,-0.7018410790312068,6.808419659885448,-0.804316147607799,50.199203187250994,0.4087301587301587,-10.701841079031208,0.8,-0.19109591947951865,2.2273451220126175
Buy & Hold Benchmark,15.0,5.0,20.0,0.25,-,-,0,1.0,-,-
Risk-Free Rate (5%),15.0,5.0,0.0,-,100,-,0,0,-,-
