,Total Return (%),Annual Return (%),Volatility (%),Sharpe Ratio,Win Rate (%),Trades Per Day,Alpha (%),Beta,Skewness,Kurtosis
Schwartz-Smith Tenor 1,1.4111210127234708,1.4224898965094157,10.064151340869367,-0.30574089547460254,53.01204819277109,0.528,-8.577510103490585,1.2,-0.1917274847683688,0.09675652865137785
Schwartz-Smith Tenor 2,14.729918039247547,14.856108279111169,9.345627087580713,0.9999208484802645,51.40562248995983,0.504,4.856108279111168,0.8,0.1730601568391952,0.48781766386449776
Buy & Hold Benchmark,15.0,5.0,20.0,0.25,-,-,0,1.0,-,-
Risk-Free Rate (5%),15.0,5.0,0.0,-,100,-,0,0,-,-
