,Valor
Retorno Médio Diário,7.630862527185209e-05
Volatilidade Diária,0.006339819429727995
Sharpe Ratio (diário),0.012036403578630953
VaR 95% (diário),-0.011370809653586745
Max Drawdown,-0.06246513693969879
Dias Positivos,132.0
Dias Negativos,116.0
