,Valor
Retorno Médio Diário,2.047603470646823
Volatilidade Diária,45.239010616125434
Sharpe Ratio (diário),0.04526189770200136
VaR 95% (diário),-0.3704439471466349
Max Drawdown,-3.035163006948169
Dias Positivos,232.0
Dias Negativos,520.0
