,Valor
Retorno Médio Diário,-0.00022191467928056954
Volatilidade Diária,0.009947358507042207
Sharpe Ratio (diário),-0.02230890533637303
VaR 95% (diário),-0.01602475370482279
Max Drawdown,-0.19330661148288072
Dias Positivos,217.0
Dias Negativos,216.0
