,Valor
Retorno Médio Diário,-0.0006617362681480351
Volatilidade Diária,0.0045154789621124946
Sharpe Ratio (diário),-0.1465484112982009
VaR 95% (diário),-0.0067065543557091045
Max Drawdown,-0.18521398735419325
Dias Positivos,114.0
Dias Negativos,137.0
