Metric,Strategy,Buy&Hold M1,CDI (13.75%),Roll Strategy
Total P&L,$-15.65,$-0.25,$0.11,$-0.25
Sharpe,-18.883,-15.943,0.000,-15.943
Max DD,-0.00%,-252297678650.76%,0.00%,-252297678650.75%
Win Rate,0.00%,-,-,-
Trades,8,-,-,-
