,Valor
Retorno Médio Diário,0.00026432042378931177
Volatilidade Diária,0.007100416451428917
Sharpe Ratio (diário),0.037226045204168105
VaR 95% (diário),-0.012012123964101494
Max Drawdown,-0.07139628185491284
Dias Positivos,398.0
Dias Negativos,352.0
