,Total Return (%),Annual Return (%),Volatility (%),Sharpe Ratio,Win Rate (%),Trades Per Day,Alpha (%),Beta,Skewness,Kurtosis
Schwartz-Smith Tenor 1,19.698955669187956,6.202276486002711,11.271561681283588,0.14735089302208648,52.92553191489362,0.4953519256308101,-3.797723513997289,1.2,-0.10826888430648426,1.4906683701170644
Schwartz-Smith Tenor 2,42.59697651748551,12.609431903714864,10.650311357092306,0.7003723393583591,51.59574468085106,0.4900398406374502,2.6094319037148623,0.8,0.44167372532661014,2.422632699371314
Buy & Hold Benchmark,15.0,5.0,20.0,0.25,-,-,0,1.0,-,-
Risk-Free Rate (5%),15.0,5.0,0.0,-,100,-,0,0,-,-
