,Valor
Retorno Médio Diário,-0.004872510061792201
Volatilidade Diária,0.06416961459268239
Sharpe Ratio (diário),-0.07593173330898952
VaR 95% (diário),-0.018973109500969452
Max Drawdown,-0.9594108825564059
Dias Positivos,99.0
Dias Negativos,92.0
