tenor,tick_value,fee_per_contract
tenor_1,10.0,2.0
tenor_2,10.0,2.0
tenor_3,10.0,2.0
tenor_4,10.0,2.0
tenor_5,10.0,2.0
tenor_6,10.0,2.0
tenor_7,10.0,2.0
tenor_8,10.0,2.0
