,Valor
Retorno Médio Diário,-0.0008187768570715165
Volatilidade Diária,0.011085798792536523
Sharpe Ratio (diário),-0.07385817408329251
VaR 95% (diário),-0.020055436487424114
Max Drawdown,-0.5137775579300888
Dias Positivos,325.0
Dias Negativos,427.0
