Metric,Strategy,Buy&Hold M1,CDI (13.75%),Roll Strategy
Total P&L,$-2.74,$1.28,$0.11,$1.28
Sharpe,-5.387,15.861,0.000,15.861
Max DD,-0.00%,0.00%,0.00%,0.00%
Win Rate,50.00%,-,-,-
Trades,3,-,-,-
