,Valor
Retorno Médio Diário,-0.00024423862412196524
Volatilidade Diária,0.008901110045340364
Sharpe Ratio (diário),-0.02743911971404303
VaR 95% (diário),-0.014139007571000395
Max Drawdown,-0.1284281538562729
Dias Positivos,109.0
Dias Negativos,142.0
