,Valor
Retorno Médio Diário,0.0004748812673689951
Volatilidade Diária,0.006425573353701242
Sharpe Ratio (diário),0.07390488618349601
VaR 95% (diário),-0.009757301839294685
Max Drawdown,-0.0733973855977102
Dias Positivos,141.0
Dias Negativos,109.0
