Date,tenor_1,tenor_2,tenor_3,tenor_4,tenor_5,tenor_6,tenor_7,tenor_8
2024-01-02,70.66151724243164,70.94303723144532,71.22455722045899,71.50607720947265,71.78759719848632,72.0691171875,72.35063717651367,72.63215716552735
2024-01-03,72.99079693603515,73.28159692382813,73.5723969116211,73.86319689941406,74.15399688720703,74.44479687500001,74.73559686279297,75.02639685058594
2024-01-04,72.47876245117187,72.7675224609375,73.05628247070312,73.34504248046875,73.63380249023437,73.9225625,74.21132250976562,74.50008251953125
2024-01-05,74.10523754882813,74.4004775390625,74.69571752929687,74.99095751953125,75.28619750976563,75.5814375,75.87667749023437,76.17191748046875
2024-01-08,71.05307662963867,71.33615661621094,71.6192366027832,71.90231658935546,72.18539657592774,72.4684765625,72.75155654907226,73.03463653564454
2024-01-09,72.5289578552246,72.81791784667969,73.10687783813476,73.39583782958985,73.68479782104492,73.9737578125,74.26271780395508,74.55167779541016
2024-01-10,71.65548275756836,71.94096276855468,72.22644277954102,72.51192279052735,72.79740280151367,73.0828828125,73.36836282348634,73.65384283447266
2024-01-11,72.30807662963868,72.59615661621093,72.8842366027832,73.17231658935548,73.46039657592773,73.7484765625,74.03655654907227,74.32463653564453
2024-01-12,72.97072030639649,73.26144030761719,73.5521603088379,73.84288031005859,74.1336003112793,74.4243203125,74.7150403137207,75.00576031494141
2024-01-16,72.68960153198242,72.97920153808593,73.26880154418946,73.55840155029297,73.84800155639648,74.1376015625,74.42720156860352,74.71680157470703
2024-01-17,72.85023754882812,73.1404775390625,73.43071752929687,73.72095751953125,74.01119750976562,74.3014375,74.59167749023437,74.88191748046876
2024-01-18,74.3763218383789,74.67264184570313,74.96896185302734,75.26528186035156,75.56160186767578,75.857921875,76.15424188232421,76.45056188964844
2024-01-19,73.7036436767578,73.99728369140625,74.29092370605468,74.58456372070313,74.87820373535156,75.17184375000001,75.46548376464844,75.75912377929687
2024-01-22,75.49076245117188,75.7915224609375,76.09228247070313,76.39304248046875,76.69380249023438,76.9945625,77.29532250976563,77.59608251953125
2024-01-23,74.66748275756837,74.96496276855468,75.26244277954102,75.55992279052734,75.85740280151367,76.1548828125,76.45236282348633,76.74984283447266
2024-01-24,75.39035632324219,75.69071630859375,75.99107629394531,76.29143627929687,76.59179626464844,76.89215625,77.19251623535156,77.49287622070312
2024-01-25,77.66944061279297,77.97888061523437,78.28832061767578,78.59776062011719,78.90720062255859,79.216640625,79.5260806274414,79.83552062988281
2024-01-26,78.3220421447754,78.6340821533203,78.94612216186523,79.25816217041016,79.57020217895509,79.8822421875,80.19428219604492,80.50632220458985
2024-01-29,77.08711877441407,77.39423876953126,77.70135876464843,78.00847875976562,78.31559875488281,78.62271875,78.9298387451172,79.23695874023437
2024-01-30,78.13127969360352,78.44255969238282,78.75383969116211,79.06511968994141,79.37639968872071,79.68767968750001,79.99895968627929,80.31023968505859
2024-01-31,76.15339846801758,76.45679846191406,76.76019845581055,77.06359844970703,77.36699844360352,77.6703984375,77.97379843139649,78.27719842529297
2024-02-01,74.11527969360351,74.41055969238282,74.70583969116211,75.0011196899414,75.2963996887207,75.5916796875,75.8869596862793,76.18223968505859
2024-02-02,72.56911877441406,72.85823876953125,73.14735876464844,73.43647875976562,73.72559875488281,74.01471875,74.30383874511719,74.59295874023438
2024-02-05,73.07111877441406,73.36223876953125,73.65335876464844,73.94447875976563,74.23559875488282,74.52671875,74.81783874511719,75.10895874023437
2024-02-06,73.60323754882812,73.8964775390625,74.18971752929687,74.48295751953125,74.77619750976562,75.0694375,75.36267749023438,75.65591748046876
2024-02-07,74.15544061279297,74.45088061523438,74.74632061767578,75.04176062011719,75.3372006225586,75.63264062500001,75.9280806274414,76.22352062988281
2024-02-08,76.52488122558594,76.82976123046875,77.13464123535157,77.43952124023437,77.74440124511719,78.04928125,78.35416125488281,78.65904125976563
2024-02-09,77.14735632324219,77.45471630859375,77.76207629394531,78.06943627929688,78.37679626464843,78.68415625,78.99151623535157,79.29887622070312
2024-02-12,77.2276781616211,77.53535815429687,77.84303814697266,78.15071813964843,78.45839813232422,78.766078125,79.07375811767578,79.38143811035157
2024-02-13,78.18148275756836,78.49296276855469,78.80444277954102,79.11592279052735,79.42740280151368,79.7388828125,80.05036282348632,80.36184283447265
2024-02-14,76.94655938720703,77.25311938476563,77.55967938232422,77.86623937988281,78.17279937744141,78.479359375,78.7859193725586,79.09247937011719
2024-02-15,78.34211877441406,78.65423876953125,78.96635876464843,79.27847875976562,79.59059875488282,79.90271875,80.21483874511719,80.52695874023438
2024-02-16,79.50676245117188,79.8235224609375,80.14028247070313,80.45704248046876,80.77380249023437,81.0905625,81.40732250976562,81.72408251953125
2024-02-20,78.49272030639648,78.80544030761719,79.11816030883789,79.4308803100586,79.7436003112793,80.0563203125,80.3690403137207,80.68176031494141
2024-02-21,78.22164367675781,78.53328369140625,78.84492370605469,79.15656372070313,79.46820373535157,79.77984375,80.09148376464844,80.40312377929688
2024-02-22,78.92444061279296,79.23888061523438,79.55332061767578,79.8677606201172,80.1822006225586,80.496640625,80.81108062744141,81.12552062988281
2024-02-23,76.79595785522461,77.10191784667968,77.40787783813477,77.71383782958985,78.01979782104492,78.3257578125,78.63171780395508,78.93767779541015
2024-02-26,77.89032183837891,78.20064184570313,78.51096185302734,78.82128186035156,79.13160186767578,79.441921875,79.75224188232423,80.06256188964844
2024-02-27,79.18548275756837,79.50096276855469,79.81644277954102,80.13192279052734,80.44740280151368,80.7628828125,81.07836282348633,81.39384283447266
