Date,S
2024-01-02,70.66151724243164
2024-01-03,72.99079693603515
2024-01-04,72.47876245117187
2024-01-05,74.10523754882813
2024-01-08,71.05307662963867
2024-01-09,72.5289578552246
2024-01-10,71.65548275756836
2024-01-11,72.30807662963868
2024-01-12,72.97072030639649
2024-01-16,72.68960153198242
2024-01-17,72.85023754882812
2024-01-18,74.3763218383789
2024-01-19,73.7036436767578
2024-01-22,75.49076245117188
2024-01-23,74.66748275756837
2024-01-24,75.39035632324219
2024-01-25,77.66944061279297
2024-01-26,78.3220421447754
2024-01-29,77.08711877441407
2024-01-30,78.13127969360352
2024-01-31,76.15339846801758
2024-02-01,74.11527969360351
2024-02-02,72.56911877441406
2024-02-05,73.07111877441406
2024-02-06,73.60323754882812
2024-02-07,74.15544061279297
2024-02-08,76.52488122558594
2024-02-09,77.14735632324219
2024-02-12,77.2276781616211
2024-02-13,78.18148275756836
2024-02-14,76.94655938720703
2024-02-15,78.34211877441406
2024-02-16,79.50676245117188
2024-02-20,78.49272030639648
2024-02-21,78.22164367675781
2024-02-22,78.92444061279296
2024-02-23,76.79595785522461
2024-02-26,77.89032183837891
2024-02-27,79.18548275756837
2024-02-28,78.85416091918945
2024-02-29,78.57304214477539
2024-03-01,80.28988122558594
2024-03-04,79.05495785522461
2024-03-05,78.46260153198243
2024-03-06,79.44651724243164
2024-03-07,79.24572030639648
2024-03-08,78.3220421447754
2024-03-11,78.24172030639649
2024-03-12,77.87023754882813
2024-03-13,80.03888122558594
2024-03-14,81.58504214477539
2024-03-15,81.36416091918946
2024-03-18,83.05088122558594
2024-03-19,83.80388122558594
2024-03-20,82.00672030639649
2024-03-21,81.39427969360352
2024-03-22,80.95251724243164
2024-03-25,82.27779693603516
2024-03-26,81.94648275756836
2024-03-27,81.67539846801758
2024-03-28,83.50267816162109
2024-04-01,84.04483908081055
2024-04-02,85.49060153198242
2024-04-03,85.77172030639649
2024-04-04,86.9363563232422
2024-04-05,87.25764367675781
2024-04-08,86.77572030639648
2024-04-09,85.57092337036133
2024-04-10,86.55483908081055
2024-04-11,85.36007662963867
2024-04-12,86.00264367675781
2024-04-15,85.75164367675781
2024-04-16,85.70144061279296
2024-04-17,83.02076245117188
2024-04-18,83.06092337036132
2024-04-19,83.47255938720703
2024-04-22,83.18139846801758
2024-04-23,83.69344061279297
2024-04-24,83.14123754882813
2024-04-25,83.90427969360351
2024-04-26,84.18539846801758
2024-04-29,82.96051724243164
2024-04-30,82.25772030639648
2024-05-01,79.316
2024-05-02,79.26579693603516
2024-05-03,78.42244061279297
2024-05-06,78.79392337036133
2024-05-07,78.69351724243164
2024-05-08,79.3059578552246
2024-05-09,79.57704214477539
2024-05-10,78.57304214477539
2024-05-13,79.43648275756836
2024-05-14,78.33207662963868
2024-05-15,78.94451724243164
2024-05-16,79.54692337036133
2024-05-17,80.38023754882812
2024-05-20,80.11920306396485
2024-05-21,79.57704214477539
2024-05-22,77.88027969360351
2024-05-23,77.17748275756836
2024-05-24,78.03088122558594
2024-05-28,80.14932183837891
2024-05-29,79.54692337036133
2024-05-30,78.22164367675781
2024-05-31,77.29795785522461
2024-06-03,74.51688122558593
2024-06-04,73.543
2024-06-05,74.36627969360352
2024-06-06,75.85220306396485
2024-06-07,75.83211877441406
2024-06-10,78.05095785522461
2024-06-11,78.21160153198242
2024-06-12,78.81400000000001
2024-06-13,78.93448275756836
2024-06-14,78.76379693603516
2024-06-17,80.6513218383789
2024-06-18,81.89627969360352
2024-06-20,82.4986781616211
2024-06-21,81.05292337036133
2024-06-24,81.95651724243164
2024-06-25,81.1533218383789
2024-06-26,81.22360153198242
2024-06-27,82.06695785522462
2024-06-28,81.86616091918945
2024-07-01,83.71351724243164
2024-07-02,83.14123754882813
2024-07-03,84.21551724243164
2024-07-05,83.49264367675781
2024-07-08,82.6593218383789
2024-07-09,81.73564367675782
2024-07-10,82.42839846801758
2024-07-11,82.95048275756837
2024-07-12,82.53883908081055
2024-07-15,82.23764367675781
2024-07-16,81.08304214477539
2024-07-17,83.18139846801758
2024-07-18,83.15127969360351
2024-07-19,80.45051724243164
2024-07-22,80.09911877441407
2024-07-23,77.26783908081055
2024-07-24,77.90035632324219
2024-07-25,78.59311877441407
2024-07-26,77.46864367675781
2024-07-29,76.11323754882812
2024-07-30,75.02892337036133
2024-07-31,78.22164367675781
2024-08-01,76.61523754882812
2024-08-02,73.81407662963868
2024-08-05,73.23176245117187
2024-08-06,73.49279693603516
2024-08-07,75.53092337036132
2024-08-08,76.49476245117188
2024-08-09,77.14735632324219
2024-08-12,80.38023754882812
2024-08-13,78.66339846801758
2024-08-14,77.28792337036133
2024-08-15,78.47264367675781
2024-08-16,76.95660153198243
2024-08-19,74.66748275756837
2024-08-20,74.33616091918945
2024-08-21,72.21772030639649
2024-08-22,73.30204214477538
2024-08-23,75.1293218383789
2024-08-26,77.7296781616211
2024-08-27,75.83211877441406
2024-08-28,74.81807662963867
2024-08-29,76.21364367675781
2024-08-30,73.84420306396484
2024-09-03,70.62135632324218
2024-09-04,69.47679693603516
2024-09-05,69.42660153198243
2024-09-06,67.9406781616211
2024-09-09,68.98483908081054
2024-09-10,66.013
2024-09-11,67.57923754882813
2024-09-12,69.24588122558593
2024-09-13,68.92460153198242
2024-09-16,70.37035632324219
2024-09-17,71.47476245117187
2024-09-18,71.19364367675782
2024-09-19,72.23779693603515
2024-09-20,72.20767816162109
2024-09-23,70.65148275756836
2024-09-24,71.84623754882813
2024-09-25,69.96876245117187
2024-09-26,67.9406781616211
2024-09-27,68.45272030639649
