Date,S
2024-09-30,68.44267816162109
2024-10-01,70.1093218383789
2024-10-02,70.38039846801757
2024-10-03,74.00483908081054
2024-10-04,74.67751724243163
2024-10-07,77.44855938720703
2024-10-08,73.86427969360352
2024-10-09,73.53295785522461
2024-10-10,76.15339846801758
2024-10-11,75.86223754882812
2024-10-14,74.12532183837891
2024-10-15,70.8623218383789
2024-10-16,70.67155938720703
2024-10-17,70.9526781616211
2024-10-18,69.49688122558594
2024-10-21,70.84223754882812
2024-10-22,72.37835632324219
2024-10-23,71.05307662963867
2024-10-24,70.47076245117188
2024-10-25,72.06711877441407
2024-10-28,67.64951724243164
2024-10-29,67.47883908081054
2024-10-30,68.88444061279297
2024-10-31,69.53704214477538
2024-11-01,69.76795785522461
2024-11-04,71.75588122558594
2024-11-05,72.27795785522461
2024-11-06,71.97676245117188
2024-11-07,72.64944061279297
2024-11-08,70.66151724243164
2024-11-11,68.31216091918945
2024-11-12,68.39248275756836
2024-11-13,68.70372030639649
2024-11-14,68.97479693603516
2024-11-15,67.28807662963867
2024-11-18,69.43664367675781
2024-11-19,69.66755938720704
2024-11-20,69.14548275756836
2024-11-21,70.38039846801757
2024-11-22,71.52495785522461
2024-11-25,69.21576245117187
2024-11-26,69.04507662963867
2024-11-27,68.99488122558594
2024-11-29,68.272
2024-12-02,68.37239846801758
2024-12-03,70.21976245117187
2024-12-04,68.81416091918945
2024-12-05,68.57320306396484
2024-12-06,67.46879693603516
2024-12-09,68.64348275756836
2024-12-10,68.86435632324219
2024-12-11,70.57116091918945
2024-12-12,70.30007662963867
2024-12-13,71.57516091918946
2024-12-16,70.99283908081054
2024-12-17,70.36032183837891
2024-12-18,70.8623218383789
2024-12-19,70.18964367675781
2024-12-20,69.73783908081055
2024-12-23,69.5169578552246
2024-12-24,70.38039846801757
2024-12-26,69.89848275756836
2024-12-27,70.88239846801758
2024-12-30,71.27395785522461
