,Valor
Retorno Médio Diário,-5.209009914256413e-05
Volatilidade Diária,0.015899050873809894
Sharpe Ratio (diário),-0.0032763024381770385
VaR 95% (diário),-0.022373861084146608
Max Drawdown,-0.19887390049391773
Dias Positivos,51.0
Dias Negativos,74.0
